127.0.0.1 - - [26/Nov/2023:11:52:31 -0500] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:53:09 -0500] "GET /reverselogic HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:53:13 -0500] "GET /reverselogic/ HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:53:14 -0500] "GET /reverselogic/css/validacion.css HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:53:14 -0500] "GET /reverselogic/css/style.css HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:53:14 -0500] "GET /reverselogic/css/Login.css HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:53:14 -0500] "GET /reverselogic/js/validacion.js HTTP/1.1" 200 1830
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:53:14 -0500] "GET /reverselogic/img/fondo8.jpg HTTP/1.1" 200 172140
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "POST /reverselogic/Usuario HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/imgVenta.jpg HTTP/1.1" 200 52005
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/css/Menu.css HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/logo-removebg-preview.png HTTP/1.1" 200 33530
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/Producto.jpg HTTP/1.1" 200 7594
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/usuario-de-perfil.png HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/devolucion.png HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/prenda.jpg HTTP/1.1" 200 8040
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/facebook.png HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/empleado.jpg HTTP/1.1" 200 7147
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/cliente.jpg HTTP/1.1" 200 9101
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/whatsapp.png HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/usuario.jpg HTTP/1.1" 200 11707
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/detallitos.png HTTP/1.1" 200 43488
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/instagram%20(1).png HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:27 -0500] "GET /reverselogic/img/fondoMenu.jpg HTTP/1.1" 200 138858
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:45 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:46 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:46 -0500] "GET /reverselogic/img/registrarUsu.avif HTTP/1.1" 200 9189
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:46 -0500] "GET /reverselogic/css/usuario.css HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:46 -0500] "GET /reverselogic/img/consultarUsu.png HTTP/1.1" 200 30373
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:51 -0500] "GET /reverselogic/Venta?enviar=ConsultarVent HTTP/1.1" 200 5309
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:51 -0500] "GET /reverselogic/css/cards.css HTTP/1.1" 200 6082
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:51 -0500] "GET /reverselogic/js/modal61.js HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:59 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:56:59 -0500] "GET /reverselogic/css/registrarEmple.css HTTP/1.1" 200 3625
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:57:12 -0500] "GET /reverselogic/ReverseLogic?enviar=producto HTTP/1.1" 200 3109
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:57:12 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:57:17 -0500] "GET /reverselogic/ReverseLogic?enviar=ConsultarProd HTTP/1.1" 200 4287
